project,mda_code,mda_name,lga_code,lga_name,econ_code,econ_name,func_code,func_name,amt_2024_actual,amt_2025_revised,amt_2025_perf_jan_sep,amt_2026_approved,source_page,page_y_top,page_y_bottom
"Computation and tracking of SDGs Direct Intervention in Health, Water and Education(FGN)",011100500100,Sustainable Development Goal's (SDGs) Office,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70131,GENERAL PERSONNEL SERVICES,500000000.0,2000000000.0,0.0,4000001223.74,68,0.4461,0.4609
"Procurement and Distribution of 300 tons of Assorted Grains, 5,000 Mattresses and Mats, 5,000 Plastic Buckets, 5,000 Blankets and Livelihood Support.",011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70421,AGRICULTURE,10000000.0,1000000000.0,0.0,750000000.0,68,0.4616,0.4842
"Provision of Solar Powered Irrigation and Other Sustainable Livelihood in Jifu, Manta and Gungu",011100800100,Niger State Emergency Management Agency(NSEMA),12622200,SHIRORO,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70421,AGRICULTURE,15000000.0,140000000.0,0.0,150000000.0,68,0.4845,0.4991
Purchase of 2no emergency buses for distaster respond team in the State,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23010108,PURCHASE OF BUSES,70421,AGRICULTURE,15000000.0,210000000.0,0.0,35000000.0,68,0.5,0.5144
ii. Monitoring of Risk assessment for herdsmen/farmers clashesacross the state,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,35000000.0,100000000.0,0.0,65000000.0,68,0.5155,0.5297
i. Completion of NSEMA office complex along Bida Road,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,60000000.0,100000000.0,0.0,395000000.0,68,0.5302,0.545
"ii. Profilling of Boat Owners, Production and Distribution of Guide to Communities",011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,107300000.0,100000000.0,0.0,40000000.0,68,0.5458,0.5603
iii. Search & Rescue operations at disaster scenes across the State,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,665000000.0,100000000.0,0.0,15000000.0,68,0.5613,0.5756
iii. Purchase of Food Items for the Mainstreaming of Nutrition in Feeding Programme of Vulnerable Groups in the State,011100800100,Niger State Emergency Management Agency(NSEMA),12642600,STATE WIDE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,245900600.0,50000000.0,0.0,50000000.0,68,0.5768,0.5909
Conduct of monitoring & evaluation across the state,011101000100,Public Procurement Board,12642600,STATE WIDE,23050103,MONITORING AND EVALUATION,70133,OTHER GENERAL SERVICES,0.0,12000000.0,0.0,6650000.0,68,0.5923,0.5989
establishment of State Data procurement dashboard,011101000100,Public Procurement Board,12642600,STATE WIDE,23050102,COMPUTER SOFTWARE ACQUISITION,70133,OTHER GENERAL SERVICES,0.0,6000000.0,0.0,6900000.0,68,0.6054,0.6113
Market Survey of prices of tendered items at state rates,011101000100,Public Procurement Board,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70133,OTHER GENERAL SERVICES,20000000.0,7000000.0,0.0,14350000.0,68,0.6168,0.6234
"Procurement of 6no. Executive Chairs, 3no. Visitors Chairs, 2no. Cabinet, 6no. Executive tables",011101000100,Public Procurement Board,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,0.0,5000000.0,0.0,8100000.0,68,0.6258,0.6399
Conduct of Procurement Audits of MDAs and LGAs,011101000100,Public Procurement Board,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,0.0,0.0,0.0,29000000.0,68,0.6405,0.6552
"Purchase of 10no. Camera, and Public Address System at House of Assembly Complex",011200300100,State House of Assembly,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,30000000.0,20000000.0,0.0,20000000.0,68,0.656,0.6705
Provision and Installation of 10no CCT Cameras and 30KVA Solar Panel at for first face at House of Assembly Complex,011200300100,State House of Assembly,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,50000000.0,100000000.0,50000000.0,100000000.0,68,0.6716,0.6858
Drilling of 3no Borehole and Reticulation at House of Assembly,011200300100,State House of Assembly,12621600,CHANCHAGA,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,9900000.0,10000000.0,0.0,10000000.0,68,0.6863,0.7011
"Renovation of Assembly Complex, Minna",011200300100,State House of Assembly,12621600,CHANCHAGA,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,100000000.0,100000000.0,0.0,60000000.0,68,0.7018,0.7164
Provision of Recreational Areas at House of Assembly,011200300100,State House of Assembly,12621600,CHANCHAGA,23020119,CONSTRUCTION / PROVISION OF RECREATIONAL FACILITIES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,50000000.0,50000000.0,0.0,50000000.0,68,0.7173,0.7317
Purchase of 2No. 500KVA Mikano Generator at House of Assembly Complex,011200300100,State House of Assembly,12621600,CHANCHAGA,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,200000000.0,0.0,100000000.0,68,0.7328,0.747
Provision of Asphaltic Overlay of Car Park at New and Old Assembly Complex,011200300100,State House of Assembly,12621600,CHANCHAGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,500000000.0,0.0,150000000.0,68,0.7475,0.7623
Provision of additional Lifter to the New Assembly Complex,011200300100,State House of Assembly,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,50000000.0,281669043.61,0.0,100000000.0,68,0.7631,0.7776
Construction of Clinic at House of Assembly Complex,011200300100,State House of Assembly,12621600,CHANCHAGA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,190000000.0,250000000.0,0.0,50000000.0,68,0.7786,0.7929
Purchase of 30no. Desktop computers for E- Library at New Extension Complex,011200300100,State House of Assembly,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,30000000.0,50000000.0,0.0,50000000.0,68,0.7933,0.8082
"Purchase of 1no of 2023 model coaster bus, 2nos of 2023 model Toyota Hummer Bus and 2no. of 2023 Toyota Hilux",011200300100,State House of Assembly,12621600,CHANCHAGA,23010108,PURCHASE OF BUSES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,200000000.0,628330956.39,25000000.0,460000000.0,68,0.8088,0.8234
"Purchase of 50No. Laptop, 10no Modem and 20No. Routers for E- Parliament at House of Assembly",011200300100,State House of Assembly,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,100000000.0,600000000.0,350000000.0,200000000.0,68,0.8243,0.8387
Construction of Legistlative Guest House,011200300100,State House of Assembly,12621600,CHANCHAGA,23020104,CONSTRUCTION / PROVISION OF HOUSING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,326097380.0,200000000.0,150000000.0,69,0.1348,0.1489
Construction of Additional PHC at Dokotza in Bida,011200300100,State House of Assembly,12610300,BIDA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,75000000.0,0.0,75000000.0,69,0.1495,0.1642
"Renovation of Basic Health Center, Masaga, Bida",011200300100,State House of Assembly,12610300,BIDA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,25000000.0,0.0,25000000.0,69,0.165,0.1795
"Reconstruction of PHC at Shabafu, Lavun LGA",011200300100,State House of Assembly,12611200,LAVUN,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,69000000.0,0.0,69000000.0,69,0.1806,0.1948
"Purchase of 1no X-ray machine, 1no. Utral sound machine and 20no. Hospital beds for Danko and Kapagi PHC, Lavun",011200300100,State House of Assembly,12611200,LAVUN,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70741,PUBLIC HEALTH SERVICES,0.0,31000000.0,0.0,31000000.0,69,0.1953,0.2101
"Complete Rehabilitation of Edati-Kpata PHC, Edati LGA",011200300100,State House of Assembly,12610600,EDATI,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,58500000.0,0.0,58500000.0,69,0.2108,0.2254
"Rehabilitation of Rokota PHC, Edati LG",011200300100,State House of Assembly,12610600,EDATI,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,41500000.0,0.0,41500000.0,69,0.2263,0.2407
"Construction of PHC at Buka, Mokwa LGA",011200300100,State House of Assembly,12611700,MOKOWA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,78000000.0,0.0,78000000.0,69,0.2418,0.256
"Rehabilitation of Kudu PHC, Mokwa",011200300100,State House of Assembly,12611700,MOKOWA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,22000000.0,0.0,22000000.0,69,0.2565,0.2713
Construction of PHC at Ndagbachi in Gbako LGA,011200300100,State House of Assembly,12610700,GBAKO,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,65000000.0,0.0,65000000.0,69,0.2721,0.2866
"Furnishing and Equiping of Batagi PHC, Bgako LGA",011200300100,State House of Assembly,12610700,GBAKO,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70741,PUBLIC HEALTH SERVICES,0.0,35000000.0,0.0,35000000.0,69,0.2876,0.3019
"Construction of Dangana PHC, Lapai LG",011200300100,State House of Assembly,12611100,LAPAI,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,50000000.0,100000000.0,69,0.3023,0.3172
"Reconstruction of Sudugi PHC, Agaie LGA",011200300100,State House of Assembly,12610100,AGAIE,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,56000000.0,0.0,56000000.0,69,0.3178,0.3325
"Renovation of Jipo PHC, Agaie LGA",011200300100,State House of Assembly,12610100,AGAIE,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,44000000.0,0.0,44000000.0,69,0.3333,0.3478
Construction of PHC at Sidi Saba in Katcha LGA,011200300100,State House of Assembly,12610900,KATCHA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,69000000.0,0.0,69000000.0,69,0.3489,0.3631
"Renovation of Gbakogi PHC, Katcha LGA",011200300100,State House of Assembly,12610900,KATCHA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,31000000.0,0.0,31000000.0,69,0.3636,0.3784
"Renovation of PHC at Izom, Gurara",011200300100,State House of Assembly,12620800,GURARA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,65000003.0,0.0,65000000.0,69,0.3791,0.3936
"Rehabilitation of Bonu PHC centre, Gurara LGA",011200300100,State House of Assembly,12620800,GURARA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,35000000.0,0.0,35000000.0,69,0.3946,0.4089
"Complete Rehabilitation of Chpo PHC, Tafa LGA",011200300100,State House of Assembly,12622400,TAFA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,40000000.0,0.0,40000000.0,69,0.4101,0.4242
Reconstruction of Tudun Ladan PHC in Tafa LGA,011200300100,State House of Assembly,12622400,TAFA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,60000000.0,0.0,60000000.0,69,0.4248,0.4395
Construction of Kwankwashe PHC in Suleja,011200300100,State House of Assembly,12622300,SULEJA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,80000000.0,100000000.0,69,0.4404,0.4548
"Rehabilitation of Chanchaga PHC, Minna",011200300100,State House of Assembly,12621600,CHANCHAGA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,70000000.0,100000000.0,69,0.4559,0.4701
Renovation of Adunu PHC in Paikoro LGA,011200300100,State House of Assembly,12621900,PAIKORO,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,65000000.0,0.0,65000000.0,69,0.4706,0.4854
"Rehabilitation of Kafinkoro PHC, Paikoro LGA",011200300100,State House of Assembly,12621900,PAIKORO,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,35000000.0,0.0,35000000.0,69,0.4861,0.5007
"Construction of PHC at Gurmana, Shiroro",011200300100,State House of Assembly,12622200,SHIRORO,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,0.0,100000000.0,69,0.5016,0.516
"Construction of PHC at Rafin Jatau, Munya LGA",011200300100,State House of Assembly,12621800,MUNYA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,78000000.0,0.0,78000000.0,69,0.5172,0.5313
"Rehabilitation of Sarkin Pawa PHC, Munya",011200300100,State House of Assembly,12621800,MUNYA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,22000000.0,0.0,22000000.0,69,0.5319,0.5466
"Rehabilitation of Beji PHC, Bosso LGA",011200300100,State House of Assembly,12620500,BOSSO,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,60000000.0,0.0,60000000.0,69,0.5474,0.5619
"Rehabilitation of Garatu PHC, Bosso LGA",011200300100,State House of Assembly,12620500,BOSSO,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,40000000.0,0.0,40000000.0,69,0.5629,0.5772
"Renovation of Pandogari PHC, Rafi LGA",011200300100,State House of Assembly,12622000,RAFI,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,55000000.0,0.0,55000000.0,69,0.5776,0.5925
Renovation of Tegina PHC Centre,011200300100,State House of Assembly,12622000,RAFI,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,45000000.0,0.0,45000000.0,69,0.5931,0.6078
"Construction of Fence and Security House at Kaboji PHC, Mashegu",011200300100,State House of Assembly,12631500,MASHEGU,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,85000000.0,0.0,85000000.0,69,0.6087,0.6231
"Supply of Beds and Stretcher to Daja PHC, Mashegu LGA",011200300100,State House of Assembly,12631500,MASHEGU,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70741,PUBLIC HEALTH SERVICES,0.0,15000000.0,0.0,15000000.0,69,0.6242,0.6384
"Reconstruction of Rafin gora PHC, Kontagora LGA",011200300100,State House of Assembly,12631000,KONTAGORA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,60000000.0,0.0,60000000.0,69,0.6389,0.6536
"Renovation of PHC at Ibanga, Kontagora LGA",011200300100,State House of Assembly,12631000,KONTAGORA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,40000000.0,0.0,40000000.0,69,0.6544,0.6689
"Rehabilitation of Basic Health Center, Genu in Rijau",011200300100,State House of Assembly,12632100,RIJAU,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,45000000.0,0.0,45000000.0,69,0.6699,0.6842
"Renovation of Farin Ruwa PHC, Rijau",011200300100,State House of Assembly,12632100,RIJAU,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,55000000.0,0.0,55000000.0,69,0.6846,0.6995
"Construction of BHC at Kokolo, Agwara LGA",011200300100,State House of Assembly,12630200,AGWARA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,75000000.0,0.0,75000000.0,69,0.7002,0.7148
"Supply of Drugs and beddings to Busuru PHC, Agwara LGA",011200300100,State House of Assembly,12630200,AGWARA,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70741,PUBLIC HEALTH SERVICES,0.0,25000000.0,0.0,25000000.0,69,0.7157,0.7301
"Upgrading of Swashi Basic Health Center, Borgu LGA",011200300100,State House of Assembly,12630400,BORGU,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,0.0,100000000.0,69,0.7312,0.7454
"Construction of Fence at Yangalu BHC, Magama LGA",011200300100,State House of Assembly,12631300,MAGAMA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,55000000.0,0.0,55000000.0,69,0.7459,0.7607
"Completion of Maigiwa BHC, Magama LGA",011200300100,State House of Assembly,12631300,MAGAMA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,45000000.0,0.0,45000000.0,69,0.7614,0.776
"Upgrading of Gulbin Boka PHC, Mariga LGA",011200300100,State House of Assembly,12631400,MARIGA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,40000000.0,0.0,40000000.0,69,0.777,0.7913
"Complete Rehabilitation of Shadadi PHC, Mariga LGA",011200300100,State House of Assembly,12631400,MARIGA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,60000000.0,0.0,60000000.0,69,0.7925,0.8066
"Construction of PHC at Dukunsakun, Wushishi LGA",011200300100,State House of Assembly,12632500,WUSHISHI,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,0.0,100000000.0,69,0.8072,0.8219
Renovation of Makera PHC in Chanchaga (A),011200300100,State House of Assembly,12621600,CHANCHAGA,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,50000000.0,100000000.0,69,0.8227,0.8372
Construction of PHC at Masaga in Bida LGA,011200300100,State House of Assembly,12610300,BIDA,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70741,PUBLIC HEALTH SERVICES,0.0,100000000.0,50000000.0,100000000.0,70,0.1348,0.1489
Purchase of 1no Toyota Hilux for Assembly Service Commission Minna,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23010106,PURCHASE OF VANS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20000000.0,25000000.0,0.0,20000000.0,70,0.1495,0.1642
Provision of additional 4no. Lap top and accessories to assembly Service commission Minna,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,12000000.0,2000000.0,0.0,10000000.0,70,0.165,0.1795
Construction of approach road to Assembly Service Commision Commission Minna,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,10000000.0,27000000.0,0.0,10000000.0,70,0.1806,0.1948
Purchase and Installation of CCTV Camera,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,3000000.0,15000000.0,0.0,5000000.0,70,0.1953,0.2101
Purchase of 1no. 18 seater Bus for the Commission,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23010108,PURCHASE OF BUSES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,5000000.0,40000000.0,0.0,15000000.0,70,0.2108,0.2254
Construction of Additional Offices for the Commission Staff,011200400100,State House Of Assembly Service Commission,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,0.0,20000000.0,0.0,15000000.0,70,0.2263,0.2407
